board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,703802,001,2023-09-27_14h04.18.002,WythoffsHumanExp,2023.1.3,None,
9.1735797500005,9.1735797500005,9.1735797500005,9.1735797500005,9.1735797500005,9.1735797500005,,,,,,,
