games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.714136208000127,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,25.421550792001653,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,40.28485099998943,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,41.258807042002445,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,42.06525412500196,159039,001,2023-10-03_11h44.19.348,WythoffsHumanExp,2023.1.3,None,
