games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.178409709013067,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,26.329139916982967,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,50.77867158403387,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,71.8391206249944,405966,001,2023-09-27_12h30.53.756,WythoffsHumanExp,2023.1.3,None,
