board_outline.started,box_1.started,text_1.started,arrow.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,861082,001,2023-09-27_13h36.24.409,WythoffsHumanExp,2023.1.3,None,
11.554703333997168,11.554703333997168,11.554703333997168,11.554703333997168,,,,,,,
