games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,12.584187250002287,,,,,,,,,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,0.01928450001287274,"[-0.31333333333333335, -0.31222222222222223, -0.30777777777777776, -0.30444444444444446, -0.3022222222222222, -0.3022222222222222, -0.3022222222222222, -0.3022222222222222, -0.3022222222222222, -0.3022222222222222, -0.3, -0.29888888888888887, -0.29888888888888887]","[0.36666666666666664, 0.36666666666666664, 0.3611111111111111, 0.35777777777777775, 0.3566666666666667, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.35444444444444445, 0.35444444444444445, 0.35333333333333333, 0.3522222222222222, 0.3522222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005704579962184653, 0.050146875000791624, 0.09967045800294727, 0.1493129169975873, 0.19848037499468774, 0.2474949169991305, 0.2961902499955613, 0.345334792000358, 0.3942899999965448, 0.44364020800276194, 0.4933147080009803, 0.543565458006924, 0.592161666994798]",,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,0.004510708007728681,"[-0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49444444444444446, -0.48, -0.46444444444444444, -0.45444444444444443, -0.44666666666666666, -0.44333333333333336, -0.44333333333333336, -0.44222222222222224, -0.44222222222222224, -0.44222222222222224, -0.44222222222222224, -0.4411111111111111, -0.43666666666666665, -0.43444444444444447, -0.43444444444444447, -0.43444444444444447]","[0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.35777777777777775, 0.38333333333333336, 0.40444444444444444, 0.41444444444444445, 0.42, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4211111111111111, 0.4211111111111111, 0.4211111111111111, 0.4211111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017300000763498247, 0.06067674999940209, 0.11059325000678655, 0.15981812500103842, 0.2087564579996979, 0.258227041005739, 0.3079709160083439, 0.35780808300478384, 0.40751066600205377, 0.45676929100591224, 0.5064931250090012, 0.5552026250079507, 0.6048534580040723, 0.6534684580110479, 0.7033385830000043, 0.7525967500114348, 0.8020499999984168, 0.8515001659980044, 0.9003986250027083]",,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,23.287307499995222,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,[],[],[],[],[],[],,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,0.04279204100021161,"[-0.38222222222222224, -0.38222222222222224, -0.38222222222222224, -0.38555555555555554, -0.3877777777777778, -0.3888888888888889, -0.3888888888888889, -0.38555555555555554, -0.3811111111111111, -0.37555555555555553, -0.35888888888888887, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222]","[0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3622222222222222, 0.3655555555555556, 0.3711111111111111, 0.38666666666666666, 0.3933333333333333, 0.39444444444444443, 0.39111111111111113, 0.38333333333333336, 0.3566666666666667, 0.33555555555555555, 0.3244444444444444, 0.3188888888888889, 0.31333333333333335, 0.30666666666666664, 0.30444444444444446, 0.30333333333333334, 0.30333333333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003896249982062727, 0.04971016600029543, 0.09861379099311307, 0.1480041659960989, 0.1974202909914311, 0.24661904099048115, 0.29599479099852033, 0.34538833299302496, 0.3953721659927396, 0.4449049999966519, 0.4940537079964997, 0.5434621249878546, 0.5923390829993878, 0.6415434160007862, 0.6906467909866478, 0.7399422909948044, 0.7895257909985958, 0.839318040991202, 0.8884819999948377, 0.937997582994285, 0.9873599159909645, 1.0367302909871796, 1.0870335409999825, 1.1362195830006385]",,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,,,,,,0.02931637500296347,"[-0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445]","[0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333]","[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0001797920122044161, 0.049051292007789016, 0.09780783401220106, 0.14660616700712126, 0.19654212500608992, 0.2458934590104036]",,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,35.78207379099331,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,36.798531833002926,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,37.53904416599835,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,877795,001,2023-10-12_15h26.02.846,WythoffsHumanExp,2023.1.3,None,
