board_outline.started,box_1.started,text_1.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,202110,001,2023-09-27_13h24.11.315,WythoffsHumanExp,2023.1.3,None,
9.364055624988396,9.364055624988396,9.364055624988396,,,,,,,
