board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,243599,001,2023-09-27_13h59.53.195,WythoffsHumanExp,2023.1.3,None,
10.041963791009039,10.041963791009039,10.041963791009039,10.041963791009039,10.041963791009039,,,,,,,
