board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,009025,001,2023-09-27_14h03.03.801,WythoffsHumanExp,2023.1.3,None,
9.193498291017022,9.193498291017022,9.193498291017022,9.193498291017022,9.193498291017022,9.193498291017022,,,,,,,
