board_outline.started,box_1.started,text_1.started,arrow.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,993901,001,2023-09-27_13h31.45.451,WythoffsHumanExp,2023.1.3,None,
9.785456457990222,9.785456457990222,9.785456457990222,9.785456457990222,,,,,,,
