games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.8515730840154,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,17.946070125035476,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,32.05685416702181,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,3,0,3,0,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,56.9934900419903,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,67.97524433402577,232740,001,2023-09-27_12h35.47.521,WythoffsHumanExp,2023.1.3,None,
