board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,747263,001,2023-09-27_13h57.41.634,WythoffsHumanExp,2023.1.3,None,
10.005685915995855,10.005685915995855,10.005685915995855,10.005685915995855,10.005685915995855,,,,,,,
