practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011944917001528665,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08333333333333333, -0.10666666666666667, -0.1388888888888889, -0.19111111111111112, -0.20777777777777778, -0.23, -0.23444444444444446, -0.24, -0.24222222222222223, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24222222222222223, -0.2311111111111111, -0.22777777777777777, -0.2222222222222222, -0.21666666666666667, -0.20333333333333334, -0.18222222222222223, -0.16, -0.13111111111111112, -0.10888888888888888, -0.09111111111111111, -0.08222222222222222, -0.07555555555555556, -0.07444444444444444, -0.07222222222222222, -0.06888888888888889, -0.06888888888888889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056666666666666664, 0.07444444444444444, 0.09333333333333334, 0.11666666666666667, 0.13111111111111112, 0.15222222222222223, 0.16666666666666666, 0.18222222222222223, 0.19444444444444445, 0.20777777777777778, 0.2111111111111111, 0.2111111111111111, 0.2111111111111111, 0.2111111111111111, 0.2111111111111111, 0.2111111111111111, 0.2111111111111111, 0.2111111111111111, 0.21333333333333335, 0.22777777777777777, 0.23777777777777778, 0.24444444444444444, 0.24888888888888888, 0.25666666666666665, 0.2688888888888889, 0.28555555555555556, 0.30666666666666664, 0.3288888888888889, 0.35555555555555557, 0.37444444444444447, 0.3877777777777778, 0.39222222222222225, 0.39555555555555555, 0.4, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016729199705878273, 0.04982908399688313, 0.09941299999627518, 0.1490246249959455, 0.1993814589950489, 0.24876320899784332, 0.29783983399829594, 0.3471917089991621, 0.3966407919942867, 0.4454801249958109, 0.49453729199740337, 0.5436113339965232, 0.5926781249945634, 0.641040124995925, 0.6901558339959593, 0.7394588339957409, 0.7886184999952093, 0.8382008749977103, 0.887899124994874, 0.937354374997085, 0.9872596249988419, 1.0367200419932487, 1.0862349169983645, 1.1359695840001223, 1.185265708998486, 1.234561291996215, 1.2830530419960269, 1.3326515839944477, 1.3824671669935924, 1.432112333997793, 1.481654791998153, 1.5310461249973741, 1.58058549999987, 1.6307302919958602, 1.6811794169989298, 1.7321726249938365, 1.781581583993102, 1.8312905839993618, 1.8814528749935562, 1.9313626669973019, 1.9814671249987441, 2.032250208998448, 2.0824341669940623, 2.1322186249963124, 2.182381249993341, 2.2328719589932007, 2.2833902089987532, 2.3330797089947737, 2.383115666998492, 2.4323452499957057]",87.05304129200522,87.87269162500161,,,,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.019942999999329913,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08888888888888889, -0.15222222222222223, -0.22666666666666666, -0.25222222222222224, -0.28555555555555556, -0.3011111111111111, -0.3188888888888889, -0.36444444444444446, -0.37666666666666665, -0.38555555555555554, -0.38666666666666666, -0.3877777777777778, -0.3877777777777778, -0.3877777777777778, -0.3877777777777778, -0.3877777777777778, -0.3877777777777778]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12111111111111111, 0.1922222222222222, 0.24888888888888888, 0.2777777777777778, 0.30333333333333334, 0.31777777777777777, 0.3411111111111111, 0.37, 0.3811111111111111, 0.3933333333333333, 0.39444444444444443, 0.39555555555555555, 0.39555555555555555, 0.39555555555555555, 0.39555555555555555, 0.39555555555555555, 0.39555555555555555]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016479200712637976, 0.0484908330035978, 0.09717512500355951, 0.1451660000020638, 0.1937037500028964, 0.24131258300621994, 0.2904910830038716, 0.3389242080011172, 0.3884069170017028, 0.4377230000027339, 0.48655650000000605, 0.5355000830022618, 0.5845979580044514, 0.6328900000007707, 0.6821239580021938, 0.73124791700684, 0.7802947500022128, 0.8296727920023841, 0.878507792003802, 0.9277467080028146, 0.9760800420044689, 1.0253187080015778, 1.074349708003865, 1.123485417003394, 1.1726222920042346, 1.2215988750031102]",101.3391468750051,,,,,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0.02368895800464088,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04666666666666667, -0.1711111111111111, -0.22555555555555556, -0.25, -0.30444444444444446, -0.37222222222222223, -0.40444444444444444, -0.4077777777777778, -0.4222222222222222, -0.4288888888888889, -0.43, -0.43, -0.43]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.2688888888888889, 0.3244444444444444, 0.3388888888888889, 0.36666666666666664, 0.40555555555555556, 0.4166666666666667, 0.4166666666666667, 0.41444444444444445, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016350000078091398, 0.048927832998742815, 0.09801324999716599, 0.14680620800209, 0.19524204199842643, 0.2443145419965731, 0.2948398750013439, 0.34636829199735075, 0.39859024999896064, 0.4512272079955437, 0.5038369579997379, 0.5564192500023637, 0.6088666669966187, 0.6598488750023535, 0.7087970419961493, 0.7578852079968783, 0.8067898329973104, 0.855420583000523, 0.9037817080024979, 0.9526956670015352, 1.00246049999987]",120.62306291700224,,,,,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.57913391700276,,,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.7524298749995,,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.83459308400052,542096,001,2023-10-27_13h27.12.899,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015824333000637125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07444444444444444, -0.15666666666666668, -0.18666666666666668, -0.22777777777777777, -0.2611111111111111, -0.2822222222222222, -0.2922222222222222, -0.29777777777777775, -0.28555555555555556, -0.26222222222222225, -0.2411111111111111, -0.2011111111111111, -0.17666666666666667, -0.17555555555555555, -0.17555555555555555, -0.17555555555555555, -0.17555555555555555, -0.17555555555555555, -0.17555555555555555, -0.17555555555555555, -0.17555555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06777777777777778, 0.12222222222222222, 0.16555555555555557, 0.1988888888888889, 0.22777777777777777, 0.26222222222222225, 0.3011111111111111, 0.32555555555555554, 0.34444444444444444, 0.3566666666666667, 0.3711111111111111, 0.38666666666666666, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001645419979467988, 0.0483932079951046, 0.0973974999942584, 0.14649395799642662, 0.19562025000050198, 0.24437287500040838, 0.2934586249975837, 0.34248112500063144, 0.39148508299695095, 0.4404651250006282, 0.48963766700035194, 0.5384680829956778, 0.5871919169949251, 0.6360322499967879, 0.684795999994094, 0.7333758329987177, 0.7821320829971228, 0.8315877499990165, 0.8811798749957234, 0.9314735829975689, 0.9806646249999176, 1.0300602499992237, 1.0794110419956269, 1.1282950419990811, 1.1769560419998015, 1.2254088330009836, 1.2744898329983698, 1.32245024999429]",184.09429037500377,,,,,,,,,,,
