games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,13.620607124999879,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,44.855425749999995,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,50.565952500000094,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,794290,001,2023-10-05_16h18.56.183,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,64.11962829200002,,,,,,,
