games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,417167,001,2023-10-02_15h00.10.292,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,417167,001,2023-10-02_15h00.10.292,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.830864333998761,,417167,001,2023-10-02_15h00.10.292,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,417167,001,2023-10-02_15h00.10.292,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,417167,001,2023-10-02_15h00.10.292,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,30.989006834002794,,,,,,,
