practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,imagine_text.started,section_2_text.started,section_3_text.started,section_4_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723553,000,2024-01-09_13h10.48.883,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723553,000,2024-01-09_13h10.48.883,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.89047283299442,,,,,,,,,,,,,,723553,000,2024-01-09_13h10.48.883,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024557042008382268,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011111111111111111, 0.012222222222222223, 0.025555555555555557, 0.028888888888888888, 0.01888888888888889, -0.15777777777777777, -0.2966666666666667, -0.35, -0.3611111111111111, -0.36444444444444446, -0.3655555555555556, -0.3688888888888889, -0.3788888888888889, -0.39666666666666667, -0.4122222222222222, -0.41555555555555557]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0044444444444444444, 0.021111111111111112, 0.03888888888888889, 0.043333333333333335, 0.04666666666666667, 0.10333333333333333, 0.16111111111111112, 0.18888888888888888, 0.2011111111111111, 0.20333333333333334, 0.20666666666666667, 0.2088888888888889, 0.2111111111111111, 0.22111111111111112, 0.23222222222222222, 0.23444444444444446]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001750410010572523, 0.0500574160105316, 0.0994816660095239, 0.14853075001155958, 0.19744904100662097, 0.24662137500126846, 0.2954482080094749, 0.3444020410097437, 0.39299516601022333, 0.4417753750021802, 0.4903214580117492, 0.5395227500121109, 0.5889499160111882, 0.6382182080124039, 0.6875623330124654, 0.7371741250099149, 0.7865571250003995, 0.8366995000105817, 0.8872187500091968, 0.9373869160044705, 0.9870971250056755, 1.0370902080030646, 1.0866037500090897, 1.1368260000017472, 1.1868897500098683, 1.237509124999633, 1.2871560830099043, 1.3372227080108132, 1.386870500005898, 1.4374029160098871, 1.4875365830084775]",74.21942062499875,64.3684237080015,,,,,723553,000,2024-01-09_13h10.48.883,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005694999999832362,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011111111111111112, -0.044444444444444446, -0.12, -0.16, -0.16444444444444445, -0.16444444444444445, -0.16444444444444445, -0.16444444444444445, -0.16444444444444445, -0.16555555555555557, -0.21222222222222223, -0.2966666666666667, -0.33111111111111113, -0.33666666666666667, -0.34, -0.3477777777777778, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0077777777777777776, 0.04555555555555556, 0.14444444444444443, 0.19777777777777777, 0.20555555555555555, 0.20555555555555555, 0.20555555555555555, 0.20555555555555555, 0.20555555555555555, 0.20555555555555555, 0.23555555555555555, 0.31, 0.34555555555555556, 0.3522222222222222, 0.35555555555555557, 0.36666666666666664, 0.37555555555555553, 0.3811111111111111, 0.38666666666666666, 0.39111111111111113, 0.39555555555555555, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017395800387021154, 0.049937457995838486, 0.09891329100355506, 0.14751912500651088, 0.19662670799880289, 0.24624370799574535, 0.2953724999970291, 0.34459579100075644, 0.39409012500254903, 0.4436514580011135, 0.49285679099557456, 0.5416523750027409, 0.5906051659985678, 0.6399524580047, 0.6888713749940507, 0.7378244580031605, 0.7864332909957739, 0.8350107500009472, 0.8835104159952607, 0.9327300409931922, 0.9816360830009216, 1.03141825000057, 1.0814369159925263, 1.131047207993106, 1.1813297909975518, 1.230199415993411, 1.2793345829995815, 1.3288153750036145, 1.3772617499926127, 1.427268165993155, 1.4778803329973016, 1.5279567499965196, 1.5779306250042282, 1.6281197079952108, 1.678530082994257, 1.7291488329938147, 1.7796974999946542, 1.8297851249953965, 1.8796307909942698, 1.9300148750044173, 1.9804058330046246, 2.030684708006447, 2.080729875000543, 2.13012775000243]",87.00488583299739,,,,,,723553,000,2024-01-09_13h10.48.883,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723553,000,2024-01-09_13h10.48.883,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.86939349999011,,,,723553,000,2024-01-09_13h10.48.883,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006019580032443628,[],[],[],[],[],[],142.524174124992,,,89.81843245799246,122.38442095799837,143.7031882500014,,,,,,,
