practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,tutorial_games.thisRepN,tutorial_games.thisTrialN,tutorial_games.thisN,tutorial_games.thisIndex,tutorial_turns.thisRepN,tutorial_turns.thisTrialN,tutorial_turns.thisN,tutorial_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08295916700081,,,,,,,,,,,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017199417001393158,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016666666666666666, -0.10666666666666667, -0.24222222222222223, -0.34555555555555556, -0.39444444444444443, -0.41333333333333333, -0.42, -0.42333333333333334, -0.4255555555555556, -0.42777777777777776, -0.42777777777777776, -0.42777777777777776, -0.42777777777777776, -0.42777777777777776, -0.42777777777777776, -0.42777777777777776, -0.4266666666666667, -0.4211111111111111, -0.41555555555555557, -0.41444444444444445]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0077777777777777776, 0.06888888888888889, 0.16555555555555557, 0.2288888888888889, 0.2577777777777778, 0.2688888888888889, 0.2722222222222222, 0.27111111111111114, 0.27, 0.27, 0.27, 0.27, 0.27, 0.27, 0.27, 0.27, 0.2633333333333333, 0.25333333333333335, 0.24444444444444444, 0.24222222222222223]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016983300156425685, 0.049827541999547975, 0.09805770800085156, 0.1460255829988455, 0.1939751249992696, 0.24192041700007394, 0.28977812499942956, 0.3384113749998505, 0.38754120800149394, 0.4363859170007345, 0.48557425000035437, 0.5345857079992129, 0.5837420419993578, 0.6329714999992575, 0.681853707999835, 0.7303943750011967, 0.7796092919998046, 0.8290711670015298, 0.8778903749989695, 0.9265127920007217, 0.9747761670005275, 1.022964708001382, 1.0712242500012508, 1.1197527080003056, 1.1686480829994252, 1.2175889169993752, 1.2674977499991655, 1.3161757080015377]",62.0014750420014,49.66504429199995,,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053409457999805454,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016666666666666666, -0.12, -0.25555555555555554, -0.32666666666666666, -0.35888888888888887, -0.37555555555555553, -0.38555555555555554, -0.39, -0.39222222222222225, -0.39222222222222225]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008888888888888889, 0.06, 0.11666666666666667, 0.15222222222222223, 0.17, 0.17555555555555555, 0.17666666666666667, 0.17777777777777778, 0.18, 0.18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017641599697526544, 0.04912170799798332, 0.0974024159986584, 0.1455150000001595, 0.19371854099881602, 0.24157349999950384, 0.2896963329985738, 0.33810254099807935, 0.3865634579997277, 0.43420004099971266, 0.4822142079974583, 0.5308318329989561, 0.5798913749968051, 0.6293619579992082, 0.6779988749985932, 0.7269214159969124, 0.7759066250000615, 0.8245342909976898, 0.8732547079998767, 0.9218584159971215, 0.9707429579975724, 1.0207290409998677]",71.04569104199982,,,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8045658330011,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03735666699867579,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0077777777777777776, -0.04666666666666667, -0.13111111111111112, -0.21888888888888888, -0.28, -0.32666666666666666, -0.3611111111111111, -0.3844444444444444, -0.3988888888888889, -0.40444444444444444, -0.4077777777777778, -0.4088888888888889, -0.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.023333333333333334, 0.07888888888888888, 0.13, 0.15888888888888889, 0.1811111111111111, 0.1988888888888889, 0.21, 0.21888888888888888, 0.22444444444444445, 0.23222222222222222, 0.23777777777777778, 0.23777777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018445800014887936, 0.049022916002286365, 0.09718500000235508, 0.14522125000075903, 0.193828500003292, 0.2422705830031191, 0.29061479099982535, 0.3392922080020071, 0.38781045799987623, 0.4365763750029146, 0.484906375000719, 0.5331576660028077, 0.5821348330027831, 0.6314442500006407, 0.680535500003316, 0.7294917910003278, 0.7783568750019185, 0.8270778750011232, 0.8767756250017555, 0.9254873750032857, 0.9745476660027634, 1.0237091250019148, 1.0732192909999867, 1.1222862499998882, 1.1720232500010752, 1.2208598329998495]",110.73933112500163,,,72.8153290420014,91.50304550000146,111.46062000000165,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480927,2,2024-02-03_15h26.03.363,WythoffsHumanExp,2023.1.3,None,
