practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,tutorial_games.thisRepN,tutorial_games.thisTrialN,tutorial_games.thisN,tutorial_games.thisIndex,tutorial_turns.thisRepN,tutorial_turns.thisTrialN,tutorial_turns.thisN,tutorial_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,nim_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.534234250000736,,,,,,,,,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016949332995864097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.07, -0.22, -0.32, -0.37666666666666665, -0.39444444444444443, -0.40444444444444444, -0.41333333333333333, -0.4166666666666667, -0.4166666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025555555555555557, 0.09222222222222222, 0.14777777777777779, 0.18222222222222223, 0.19666666666666666, 0.20666666666666667, 0.21666666666666667, 0.22444444444444445, 0.22555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017166599718621, 0.050515957998868544, 0.099416666002071, 0.1480282909978996, 0.1963869160026661, 0.24493424999673152, 0.2939055829992867, 0.34327425000083167, 0.39269504100229824, 0.44194566599617247, 0.4914506659988547, 0.5412324159988202, 0.5908709579962306, 0.6403388749968144, 0.689299249999749, 0.7395348749996629, 0.7892090000023018]",60.30287183300243,48.38174291600444,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016944500006502494,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015555555555555555, -0.07666666666666666, -0.18444444444444444, -0.25, -0.27111111111111114, -0.27666666666666667, -0.2777777777777778, -0.28, -0.28444444444444444, -0.28444444444444444, -0.28444444444444444, -0.28444444444444444, -0.28444444444444444, -0.29, -0.3011111111111111, -0.3055555555555556, -0.3055555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021111111111111112, 0.1, 0.22666666666666666, 0.3111111111111111, 0.34444444444444444, 0.35555555555555557, 0.36, 0.36777777777777776, 0.37555555555555553, 0.37666666666666665, 0.37666666666666665, 0.37666666666666665, 0.37666666666666665, 0.38555555555555554, 0.4066666666666667, 0.4177777777777778, 0.41888888888888887]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017425000260118395, 0.05046845800097799, 0.09906087499985006, 0.1476482500002021, 0.19643154100049287, 0.24461283300479408, 0.2938017080014106, 0.3440319580040523, 0.3950632910054992, 0.4449596660051611, 0.4951256660060608, 0.5451780000003055, 0.5953298330059624, 0.6450747500057332, 0.6948038330010604, 0.7446261660006712, 0.7937428330042167, 0.8430747500024154, 0.8923237910057651, 0.9410136250007781, 0.9899618330018711, 1.0397860830053105, 1.089439958006551, 1.1392761250026524, 1.1888867080051568]",72.10376225000073,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016992500000924338,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03111111111111111, -0.1111111111111111, -0.21444444444444444, -0.2877777777777778, -0.3288888888888889, -0.3411111111111111, -0.35444444444444445, -0.36777777777777776, -0.37666666666666665, -0.3888888888888889, -0.4022222222222222, -0.4066666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.10111111111111111, 0.20555555555555555, 0.28444444444444444, 0.3322222222222222, 0.3511111111111111, 0.36333333333333334, 0.37444444444444447, 0.3811111111111111, 0.3888888888888889, 0.4011111111111111, 0.40555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018004200683208182, 0.05006758400122635, 0.09872500000346918, 0.14732337500026915, 0.1957292920051259, 0.2446908340061782, 0.2941674590038019, 0.3452268340042792, 0.3950533750030445, 0.444765959000506, 0.495083000001614, 0.5449809590063524, 0.5953954170036013, 0.6455681250008638, 0.695048792003945, 0.7449279590000515, 0.794856709006126, 0.8449328750066343, 0.8950195420038654, 0.9452011250032228]",83.28454245800094,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028792749995773192,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02666666666666667, -0.11333333333333333, -0.2011111111111111, -0.24666666666666667, -0.2611111111111111, -0.26555555555555554, -0.27111111111111114, -0.2777777777777778, -0.2866666666666667, -0.2922222222222222, -0.2922222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024444444444444446, 0.13444444444444445, 0.25666666666666665, 0.3211111111111111, 0.35, 0.37, 0.38222222222222224, 0.3933333333333333, 0.40444444444444444, 0.41, 0.4111111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017600000137463212, 0.04968370799906552, 0.0986649580008816, 0.14844404099858366, 0.19810729099845048, 0.24702008299937006, 0.29630183299741475, 0.34482370800105855, 0.3931977079992066, 0.4424556660014787, 0.49174412499996834, 0.5409579999977723, 0.5901333750007325, 0.6390821250024601, 0.6886596659969655, 0.7380145830029505, 0.786909000002197, 0.8363440410030307, 0.8858349160000216, 0.9359159160012496, 0.9851085409973166]",92.45554841600097,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02961279200098943,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0044444444444444444, -0.05, -0.10555555555555556, -0.13777777777777778, -0.16333333333333333, -0.17666666666666667, -0.18, -0.18, -0.18, -0.18, -0.19777777777777777, -0.23777777777777778, -0.24888888888888888, -0.25, -0.25, -0.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.09888888888888889, 0.18444444444444444, 0.24, 0.27555555555555555, 0.29, 0.29555555555555557, 0.29555555555555557, 0.29555555555555557, 0.29555555555555557, 0.3233333333333333, 0.39555555555555555, 0.4111111111111111, 0.4122222222222222, 0.4122222222222222, 0.4122222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017945899890037253, 0.04937604199949419, 0.0984010419997503, 0.14803933399525704, 0.19742820899409708, 0.24643070899765007, 0.29575304199534, 0.3446777089993702, 0.3943021669983864, 0.44384449999779463, 0.4930003339977702, 0.5422293749943492, 0.5914214169970364, 0.6410813749971567, 0.6895845420003752, 0.7379228339996189, 0.7866993339994224, 0.8356599589969846, 0.8849307919954299, 0.9341138339950703, 0.9831093749962747, 1.0332910419965629, 1.0848386249999749, 1.1338646669973969]",101.94301887500478,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017000667001411784,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04111111111111111, -0.11222222222222222, -0.19444444444444445, -0.24, -0.2511111111111111, -0.2511111111111111, -0.2511111111111111, -0.2511111111111111, -0.2644444444444444, -0.31444444444444447, -0.35333333333333333, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057777777777777775, 0.15555555555555556, 0.24666666666666667, 0.3233333333333333, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.35555555555555557, 0.3811111111111111, 0.4022222222222222, 0.4066666666666667, 0.4077777777777778, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018008299957728013, 0.049875666001753416, 0.09828308299620403, 0.14707483299571322, 0.19528237499616807, 0.2438525830002618, 0.29213899999740534, 0.34143604100245284, 0.39075216600031126, 0.44159224999748403, 0.4915550829973654, 0.5413948330024141, 0.5913427909981692, 0.6417802079959074, 0.6923278749964084, 0.7414176660022349, 0.7908791660011047, 0.8405180409972672, 0.8906001659997855, 0.9404819999981555, 0.9908672079982352, 1.0411252499980037, 1.0912667079974199, 1.1406798329990124, 1.191365250000672, 1.2411739579983987]",113.86583050000627,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016937499996856786,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.008888888888888889, -0.11444444444444445, -0.18333333333333332, -0.2311111111111111, -0.2677777777777778, -0.29888888888888887, -0.3233333333333333, -0.3411111111111111, -0.36, -0.37, -0.39111111111111113, -0.41444444444444445, -0.4222222222222222, -0.4222222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.09555555555555556, 0.13666666666666666, 0.16, 0.17777777777777778, 0.19333333333333333, 0.21333333333333335, 0.23222222222222222, 0.25555555555555554, 0.27, 0.28555555555555556, 0.30444444444444446, 0.31777777777777777, 0.3188888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017987500177696347, 0.05046637500345241, 0.10003250000590924, 0.1500112500070827, 0.19986779200553428, 0.24993937500403263, 0.3001109590040869, 0.35047516700433334, 0.400883000002068, 0.4502605840025353, 0.49998825000511715, 0.5497749590067542, 0.6000217920009163, 0.650225125005818, 0.7001887090009404, 0.7501256670002476, 0.7999129590025404, 0.8502046250068815, 0.899803709005937]",125.41422079100448,,,,,,,,921191,001,2024-02-05_16h18.39.649,WythoffsHumanExp,2023.1.3,None,
