games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,end_blue.started,end_red.started,feedback_win.started,feedback_lose.started,button.started,button_text.started,button_text.stopped,feedback_win.stopped,feedback_lose.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.47093216702342,8.47093216702342,8.47093216702342,11.464689084037673,12.735770125000272,,,,,,,,,,,,,996838,001,2023-09-26_13h02.32.772,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,13.742875834053848,13.742875834053848,14.61260937503539,,,,,,,,,,996838,001,2023-09-26_13h02.32.772,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,15.635346625000238,15.635346625000238,16.365903625031933,16.365903625031933,16.365903625031933,16.365903625031933,17.36204366700258,18.36214566702256,18.36214566702256,,,,,,,
