games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.617426917000557,,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,21.782504500006326,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,42.88548087500385,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,43.95048050000332,459080,001,2023-10-02_12h41.23.463,WythoffsHumanExp,2023.1.3,None,
