games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,piece.started,text.started,moving_piece.started,npc.started,moving_npc.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.199426792038139,8.199426792038139,8.199426792038139,11.201097709010355,11.201097709010355,16.941676791990176,17.947347292036284,19.197822834015824,077478,001,2023-09-25_13h08.40.964,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,20.20324287499534,20.20324287499534,21.59683200001018,22.629857458989136,23.877816874999553,077478,001,2023-09-25_13h08.40.964,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,24.881459459022153,24.881459459022153,25.97960200003581,,,,,,,,,
