practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013032833005127031,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06888888888888889, -0.12666666666666668, -0.15666666666666668, -0.20333333333333334, -0.2611111111111111, -0.29777777777777775, -0.33555555555555555, -0.35888888888888887, -0.3655555555555556, -0.38, -0.39, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008888888888888889, 0.024444444444444446, 0.03333333333333333, 0.05333333333333334, 0.06888888888888889, 0.07888888888888888, 0.08444444444444445, 0.08777777777777777, 0.09, 0.09555555555555556, 0.09777777777777778, 0.10777777777777778, 0.10777777777777778, 0.10777777777777778, 0.10777777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016637500084470958, 0.04950408299919218, 0.09905429199716309, 0.1478655829996569, 0.1971527080022497, 0.24658837499737274, 0.2961182919971179, 0.3455959580023773, 0.3948477079975419, 0.44435395800246624, 0.49399341700336663, 0.5428670000037528, 0.5920512079974287, 0.6411522080015857, 0.6927367919997778, 0.7446496249976917, 0.7965887079990353, 0.848799291998148, 0.900527833000524, 0.9525599580010748, 1.0043044999983977]",47.191747416996805,48.39743370899669,,,,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.023865625000325963,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0022222222222222222, -0.0044444444444444444, -0.0044444444444444444, -0.005555555555555556, -0.005555555555555556, -0.01888888888888889, -0.06666666666666667, -0.09111111111111111, -0.10888888888888888, -0.14222222222222222, -0.2011111111111111, -0.2633333333333333, -0.31222222222222223, -0.34444444444444444, -0.36777777777777776, -0.37222222222222223, -0.37666666666666665, -0.38666666666666666, -0.39444444444444443, -0.3977777777777778, -0.4066666666666667, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0022222222222222222, -0.005555555555555556, -0.01, -0.014444444444444444, -0.014444444444444444, -0.014444444444444444, -0.011111111111111112, 0.0077777777777777776, 0.03222222222222222, 0.06333333333333334, 0.09444444444444444, 0.1388888888888889, 0.18666666666666668, 0.22777777777777777, 0.2633333333333333, 0.28888888888888886, 0.3011111111111111, 0.3111111111111111, 0.3233333333333333, 0.3288888888888889, 0.3333333333333333, 0.3433333333333333, 0.34555555555555556, 0.34555555555555556, 0.34555555555555556, 0.34555555555555556, 0.34555555555555556, 0.34555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016404200141550973, 0.049120249997940846, 0.09779470899957232, 0.14637583400326548, 0.195111041997734, 0.24366325000301003, 0.29287870899861446, 0.34184074999939185, 0.39064150000194786, 0.4399977499997476, 0.49033733399846824, 0.5396143339967239, 0.5895466669971938, 0.6392500840011053, 0.6890143749988056, 0.7387197499992908, 0.7895070840022527, 0.8393752499978291, 0.8886134589993162, 0.938100042003498, 0.9871823339999537, 1.0366874169994844, 1.0859279590004007, 1.1348146250020363, 1.1841742920005345, 1.233827249998285, 1.282702500000596, 1.3315366669994546, 1.379517624998698, 1.42799608399946, 1.4762118340004236, 1.5243145839995123, 1.574145500002487, 1.6231570840027416]",60.50169662499684,,,,,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0.04336187499575317,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.01888888888888889, -0.05, -0.08444444444444445, -0.1288888888888889, -0.16666666666666666, -0.2088888888888889, -0.23, -0.25, -0.2811111111111111, -0.3088888888888889, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.3411111111111111, -0.37666666666666665, -0.3844444444444444, -0.3988888888888889, -0.4066666666666667, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4088888888888889, -0.4088888888888889, -0.4033333333333333, -0.3977777777777778, -0.39666666666666667, -0.3933333333333333, -0.37444444444444447, -0.37222222222222223, -0.3688888888888889, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, 0.03666666666666667, 0.08555555555555555, 0.13555555555555557, 0.17888888888888888, 0.20666666666666667, 0.23222222222222222, 0.24888888888888888, 0.2611111111111111, 0.2822222222222222, 0.30777777777777776, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.3466666666666667, 0.39, 0.3988888888888889, 0.4077777777777778, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.4122222222222222, 0.41, 0.41, 0.4088888888888889, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016399999731220305, 0.04810225000255741, 0.09707362500193994, 0.14576845800183946, 0.19430466699850513, 0.24235625000437722, 0.2900868750002701, 0.3379242079972755, 0.3861261670026579, 0.4338460830040276, 0.481680958000652, 0.5301495829990017, 0.5787964170012856, 0.6275786250043893, 0.6761885000014445, 0.7245102079978096, 0.7731288330032839, 0.8216402079997351, 0.8701428749991464, 0.9185830420028651, 0.9674295000004349, 1.0160800829980872, 1.0645596670001396, 1.1139788330037845, 1.1630139580011019, 1.2116968749978696, 1.2597513750006328, 1.3076921250030864, 1.355795916999341, 1.4043489169998793, 1.4517848329996923, 1.4994948750027106, 1.5472049579984741, 1.596494999997958, 1.646280792003381, 1.6954735420004, 1.7446087499993155, 1.7932465420017252, 1.8415127920015948, 1.889240582997445, 1.937182916997699, 1.9851221670032828, 2.03279379200103, 2.08102462500392, 2.1302976669976488, 2.179680166998878, 2.2288438329997007, 2.27846720800153, 2.3272496670033433, 2.37557608300267, 2.423990875002346, 2.4721411249993253, 2.5204628749997937, 2.5688108750036918]",75.47223291699629,,,,,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.46291395899607,,,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.02808825000102,,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.81825420899986,864217,001,2023-10-27_13h04.48.122,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04578070800198475,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058888888888888886, 0.08333333333333333, 0.08777777777777777, 0.08777777777777777, -0.01888888888888889, -0.14333333333333334, -0.21777777777777776, -0.2688888888888889, -0.3111111111111111, -0.33444444444444443, -0.35, -0.37, -0.38666666666666666, -0.42, -0.43555555555555553, -0.43555555555555553, -0.43555555555555553, -0.43555555555555553]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0022222222222222222, -0.09555555555555556, -0.15222222222222223, -0.16, -0.16, -0.03222222222222222, 0.08555555555555555, 0.16444444444444445, 0.21333333333333335, 0.26222222222222225, 0.2877777777777778, 0.31222222222222223, 0.34, 0.3688888888888889, 0.40555555555555556, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004023750007036142, 0.049140874994918704, 0.09777487500105053, 0.14660512499540346, 0.19539295899448916, 0.24289691699959803, 0.2909449590006261, 0.33924204199865926, 0.3876604999968549, 0.4354322500003036, 0.48369337499752874, 0.5323426670001936, 0.5808093749947147, 0.6285460419967421, 0.6767120419972343, 0.725019583995163, 0.7743507919949479, 0.8241133749979781, 0.8737686249951366, 0.9232484999956796, 0.9723906669969438, 1.022231124996324, 1.0709300419985084, 1.1195015419943957, 1.1679394169987063, 1.2161901250001392, 1.2638586670000223, 1.3122100839973427, 1.3602273750002496]",151.5654671250013,,,,,,,,,,,
