games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.554911416998948,,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,20.25033633300336,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,332501,001,2023-09-29_15h46.44.503,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,34.57674187500379,,,,,,,
