games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,24.319887457999812,,,,,,,,,,,,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"[-0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.2911111111111111, -0.28888888888888886, -0.2877777777777778, -0.28, -0.27666666666666667, -0.28, -0.2922222222222222, -0.3, -0.30777777777777776, -0.3233333333333333, -0.3377777777777778, -0.34555555555555556, -0.3466666666666667]","[0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21444444444444444, 0.21555555555555556, 0.22555555555555556, 0.25555555555555554, 0.31444444444444447, 0.3511111111111111, 0.37222222222222223, 0.39666666666666667, 0.4077777777777778, 0.4077777777777778, 0.4088888888888889, 0.4122222222222222, 0.41444444444444445, 0.4166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016770899992479826, 0.04873491699981969, 0.09703591699962999, 0.1455297919997065, 0.19326891699984117, 0.24100470899975335, 0.28903354199974274, 0.33656654199967306, 0.3840858749999825, 0.4324078749996261, 0.48046741699999984, 0.5282070839998596, 0.5757354589995884, 0.6238781249999192, 0.6715698339999108, 0.7193781669998316, 0.7667512919997534, 0.8145738749999509, 0.8620997499997429, 0.9101358749999235, 0.9582484589996056, 1.0057242919997407, 1.0532055839998975, 1.101040374999684, 1.1482813339998756, 1.1958099999997103, 1.2434763749997728, 1.2912486669997634, 1.338948041999629, 1.3864195839996682, 1.4345272089999526, 1.483192666999912, 1.530735958999685, 1.5785091669999929, 1.6262025419996462, 1.6740054169999894, 1.721921416999976, 1.7697992919997887, 1.8180603749997317, 1.8659167089999755, 1.9136102499996923, 1.9609750419999727, 2.009915833999912, 2.057787124999777, 2.105126666999695, 2.1529378749996795, 2.200688541999625, 2.249340624999604, 2.298137208999833, 2.3462040839999645, 2.3945538749999287, 2.442559708999852, 2.490185666999878, 2.5374138749998565, 2.5857654169999478, 2.634417041999768, 2.682049416999689, 2.7297533339997244, 2.777598583999861, 2.8260307499999726, 2.874185749999924, 2.9220447089996924, 2.96978933399987, 3.0175852089996624, 3.065858458999628, 3.1137989169997127, 3.161884749999899, 3.209476791999805, 3.25857062499972, 3.306125124999653, 3.354306458999872, 3.402440791999652, 3.4513765839997177, 3.4992795839998507, 3.5468055419996745, 3.5938078339995627, 3.641427499999736, 3.6887164589998065, 3.736384624999573, 3.7842322499996044, 3.8317744999999377, 3.8792961669996657, 3.927158749999762, 3.974424249999629, 4.022915958999874, 4.070067208999717, 4.117182624999714, 4.165433083999687, 4.212977333999788, 4.260719083999902, 4.308637374999762, 4.35679137499983, 4.404600208999909, 4.452281541999582, 4.500400874999741, 4.548309249999875, 4.596552333999625, 4.644817958999738, 4.693136499999582, 4.741610291999677, 4.7898694169998635, 4.837988999999652, 4.8860378339995805, 4.934264041999995, 4.982193833999645, 5.029750249999779, 5.078023916999882, 5.125488749999931, 5.173278499999924, 5.221025833999647, 5.268036291999579, 5.315630624999812, 5.36302487499961, 5.411040333999608, 5.458810083999651, 5.506468083999607, 5.55449633399985, 5.60258045899991, 5.650356583999837, 5.698740124999858, 5.746848749999572, 5.794668249999631, 5.842895583999962, 5.890380291999918, 5.9384032499997375, 5.986403458999575, 6.034656874999655, 6.082508083999983, 6.129972416999863, 6.178620166999735, 6.226258874999985, 6.274176083999919, 6.321769374999803, 6.369924749999882, 6.417316083999594, 6.465603458999794, 6.51381529199989, 6.561629749999611, 6.609425958999964, 6.65742816699958, 6.7051062089999505, 6.752852249999705, 6.800993624999592, 6.849166958999831, 6.896810624999944, 6.944252249999863, 6.992161874999965, 7.039420124999651, 7.0867166249995535, 7.134954124999695, 7.182735666999633, 7.22962704199972, 7.277151333999882, 7.325293375000001, 7.372741374999805, 7.420108124999842, 7.468907083999966, 7.516559166999741, 7.564051041999846, 7.611893749999581, 7.660227374999977, 7.708186708999619, 7.755791958999907, 7.8040169589999095, 7.8516097919996355, 7.899769083999672, 7.947399499999847, 7.994826499999817, 8.042866124999819, 8.091228291999869, 8.13937737499964, 8.186872791999576, 8.23427112499985, 8.282714791999751, 8.330204374999994, 8.37789579199989, 8.425348499999927, 8.473287124999842, 8.522569041999759, 8.570232833999853, 8.618192624999665, 8.666154374999678, 8.714915791999829, 8.762282666999909, 8.810055958999783, 8.85772254199992, 8.905398999999761, 8.953849458999684, 9.00190079199956, 9.050338416999693, 9.098361458999989, 9.146038583999598, 9.194062999999915, 9.241982999999891, 9.289906791999783, 9.337752124999952, 9.385962333999942, 9.434192958999574, 9.482704874999854, 9.530120499999612, 9.577656458999627, 9.626222624999627, 9.673788708999837, 9.72171787499974, 9.769605374999628, 9.817221124999833, 9.864764291999563, 9.912138374999813, 9.959944041999734, 10.007925249999971, 10.055568249999851, 10.104007624999667, 10.15220112499992, 10.200361958999565, 10.248298208999586, 10.296470791999582, 10.344980916999702, 10.392529792000005, 10.441731666999658, 10.49066320899965, 10.539478166999743, 10.58736354199982, 10.636181083999872, 10.684449291999954, 10.733207124999808]",0.028429458000118757,52.198399957999754,,,,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,"[-0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667]","[0.4, 0.4, 0.4, 0.4, 0.4]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0001720000000204891, 0.048781707999751234, 0.09712270799991529, 0.14571345800004565, 0.194958332999704]",0.010046417000012298,63.64789741599998,,,,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.14320825000004,,,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.93396499999972,,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.708827208,791631,001,2023-10-24_16h20.05.457,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.24888888888888888, -0.24888888888888888, -0.24888888888888888, -0.27555555555555555, -0.3388888888888889, -0.38222222222222224, -0.39666666666666667, -0.3977777777777778, -0.3977777777777778, -0.39222222222222225, -0.39, -0.39111111111111113, -0.39444444444444443, -0.39444444444444443, -0.39555555555555555, -0.39555555555555555]","[0.05333333333333334, 0.05333333333333334, 0.05333333333333334, 0.09222222222222222, 0.2011111111111111, 0.30444444444444446, 0.36, 0.37666666666666665, 0.38222222222222224, 0.39444444444444443, 0.4066666666666667, 0.4122222222222222, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001832499997362902, 0.049033040999802324, 0.0976554999997461, 0.1459530829997675, 0.19425395799999023, 0.24258570799975132, 0.29114133299981404, 0.3399090829998386, 0.3882482499998332, 0.4366213329999482, 0.48520091599993975, 0.533771040999909, 0.5822281249998014, 0.6302697080000144, 0.6786502909999399, 0.7264712500000314]",0.043285166999794455,134.46543808299975,,,,,,,,,,
