board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,left_arrow.started,up_arrow.started,up_left_arrow.started,box_3.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,604340,001,2023-09-29_11h53.42.101,WythoffsHumanExp,2023.1.3,None,
11.120393584002159,11.120393584002159,11.120393584002159,11.120393584002159,11.120393584002159,11.120393584002159,11.120393584002159,11.120393584002159,11.120393584002159,11.120393584002159,11.120393584002159,,,,,,,
