games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
,,,,,,,,,,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
,,,,,,,,11.632813167001586,,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
0,0,0,0,0,0,0,0,,,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
0,0,0,0,,,,,,18.580700042002718,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
1,0,1,0,0,0,0,0,,,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
1,0,1,0,1,0,1,0,,,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
1,0,1,0,2,0,2,0,,,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
1,0,1,0,,,,,,41.88735716699739,,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
,,,,,,,,,,48.475850667004124,705280,001,2023-10-02_12h17.34.334,WythoffsHumanExp,2023.1.3,60.07563534973401,
