section_1_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,405240,001,2023-10-02_14h05.41.196,WythoffsHumanExp,2023.1.3,None,
,405240,001,2023-10-02_14h05.41.196,WythoffsHumanExp,2023.1.3,None,
12.17859712500649,,,,,,,
