games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.76355908298865,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,29.536752832995262,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,38.72617104195524,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,47.22028008295456,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,60.596291707945056,197862,001,2023-09-27_12h41.47.000,WythoffsHumanExp,2023.1.3,None,
