practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,360980,001,2024-01-25_09h46.11.845,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,360980,001,2024-01-25_09h46.11.845,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.706011249974836,,,,,,,,,360980,001,2024-01-25_09h46.11.845,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,0.017183792020659894,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03666666666666667, -0.051111111111111114, -0.08777777777777777, -0.12666666666666668, -0.1688888888888889, -0.1811111111111111, -0.1811111111111111, -0.1811111111111111, -0.1811111111111111, -0.1811111111111111, -0.18222222222222223, -0.2511111111111111, -0.3111111111111111, -0.33666666666666667, -0.35555555555555557, -0.36777777777777776, -0.38, -0.39444444444444443, -0.4, -0.4011111111111111, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.08666666666666667, 0.10333333333333333, 0.15555555555555556, 0.19333333333333333, 0.21888888888888888, 0.22333333333333333, 0.22333333333333333, 0.22333333333333333, 0.22333333333333333, 0.22333333333333333, 0.22444444444444445, 0.2911111111111111, 0.33555555555555555, 0.3566666666666667, 0.3788888888888889, 0.39444444444444443, 0.40444444444444444, 0.4111111111111111, 0.41333333333333333, 0.41333333333333333, 0.41444444444444445, 0.41444444444444445, 0.41444444444444445]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.000169374980032444, 0.049784540955442935, 0.09816716599743813, 0.14610829099547118, 0.19394662498962134, 0.24190504098078236, 0.28965212497860193, 0.3373434579698369, 0.3853672500117682, 0.4337516659870744, 0.48189349996391684, 0.530078457959462, 0.5779767499770969, 0.6255435000057332, 0.6733379159704782, 0.7209974579745904, 0.7684441659948789, 0.8166964999982156, 0.864922790962737, 0.9127039999584667, 0.9605575829627924, 1.0085033749928698, 1.0560781660024077, 1.1041215829900466, 1.1523580829962157, 1.201270374993328, 1.2507285829633474, 1.3008660830091685, 1.3498887500027195, 1.3991101249703206, 1.4476320410030894, 1.4951745409634896, 1.5431220830068924, 1.5911019159830175, 1.6389148749876767, 1.6866672500036657, 1.7347120409831405, 1.7837643749662675, 1.8331774160033092, 1.882701458001975, 1.9325069159967825, 1.98149829095928, 2.030476040963549, 2.078685999964364, 2.1267465410055593, 2.174960749980528, 2.2225481249624863, 2.2707724579959176, 2.3195708749699406]",19.857122082961723,,,,,,,
