games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,end_blue.started,end_red.started,feedback_win.started,feedback_lose.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.15011562500149,8.15011562500149,8.15011562500149,11.137385874986649,12.391098332998808,,,,,,,,429002,001,2023-09-25_14h39.40.242,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,15.481900833023246,16.762588792014867,13.42905645800056,13.42905645800056,14.481280000007246,,,,,429002,001,2023-09-25_14h39.40.242,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,19.8267593330238,21.036472624982707,17.735303041990846,17.735303041990846,18.784926082997117,,,,,429002,001,2023-09-25_14h39.40.242,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,22.0653334169765,22.0653334169765,22.7594802500098,22.7594802500098,429002,001,2023-09-25_14h39.40.242,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,24.813694833021145,24.813694833021145,24.813694833021145,35.74521525000455,36.99261212500278,27.80367983301403,27.80367983301403,34.70858837501146,,,,,429002,001,2023-09-25_14h39.40.242,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,37.98066787497373,37.98066787497373,38.708964582998306,,,,,429002,001,2023-09-25_14h39.40.242,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,39.73911391699221,39.73911391699221,40.49128729198128,40.49128729198128,429002,001,2023-09-25_14h39.40.242,WythoffsHumanExp,2023.1.3,None,
