games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,status_text.started,next_mouse.started,next_mouse.x,next_mouse.y,next_mouse.leftButton,next_mouse.midButton,next_mouse.rightButton,next_mouse.time,next_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,26.069699792016763,0.04091920796781778,[-0.03],[0.011111111111111112],[1],[0],[0],[54.646535958047025],['button'],549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,,,,,,549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,95.04978979204316,0.027116750017739832,[-0.02666666666666667],[0.0011111111111111111],[1],[0],[0],[1.8851540419855155],['button'],549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,,,,,,549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,,,,,,549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,108.80051274999278,0.030057708034291863,[-0.017777777777777778],[0.022222222222222223],[1],[0],[0],[1.9485402089776471],['button'],549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,,,,,,549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,117.5409817090258,0.028713540988974273,[-0.034444444444444444],[-0.006666666666666667],[1],[0],[0],[2.7732986669871025],['button'],549324,001,2023-09-26_14h14.54.507,WythoffsHumanExp,2023.1.3,None,
