games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,14.283097334000018,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,23.674138750000026,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,37.63766270900001,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,49.120531417000024,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,134941,001,2023-10-05_14h37.40.225,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,67.477550084,,,,,,,
