practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476659,001,2024-01-04_15h27.15.145,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476659,001,2024-01-04_15h27.15.145,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09262554200177,,,,,,,,,,,,,476659,001,2024-01-04_15h27.15.145,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.0005795840006612707,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.01888888888888889, -0.03333333333333333, -0.03666666666666667, -0.03666666666666667, -0.03666666666666667, -0.03666666666666667, -0.03666666666666667, -0.10666666666666667, -0.26555555555555554, -0.3522222222222222, -0.37444444444444447, -0.3811111111111111, -0.38666666666666666, -0.3933333333333333, -0.3977777777777778, -0.3988888888888889, -0.3988888888888889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021111111111111112, 0.1811111111111111, 0.3088888888888889, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.34, 0.3688888888888889, 0.38555555555555554, 0.39, 0.39111111111111113, 0.3933333333333333, 0.3977777777777778, 0.4, 0.4011111111111111, 0.4022222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001710840006126091, 0.049551874999451684, 0.09806195900091552, 0.1471672089974163, 0.196478334000858, 0.24620304199925158, 0.29641170899776625, 0.34634387500045705, 0.39756279200082645, 0.4465167089983879, 0.4957301249996817, 0.5448082919974695, 0.594465833997674, 0.6447186669975054, 0.6961262919976434, 0.7463854999987234, 0.7961646250005288, 0.845960541999375, 0.8963653339997109, 0.9466733339977509, 0.9975228750008682, 1.0472164589991735, 1.098261791998084, 1.1476538749993779]",83.12076829200305,61.26112120900143,,,,476659,001,2024-01-04_15h27.15.145,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.0005784589993709233,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.013333333333333334, -0.14888888888888888, -0.28444444444444444, -0.3188888888888889, -0.3211111111111111, -0.3211111111111111, -0.3211111111111111, -0.3211111111111111, -0.3655555555555556, -0.4111111111111111, -0.42333333333333334, -0.42444444444444446, -0.42444444444444446, -0.42444444444444446, -0.42444444444444446]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011111111111111111, 0.07222222222222222, 0.19, 0.23777777777777778, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.24222222222222223, 0.31222222222222223, 0.38555555555555554, 0.41555555555555557, 0.41888888888888887, 0.42, 0.4211111111111111, 0.4211111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017437499991501682, 0.050136750000092434, 0.09953949999908218, 0.14890025000204332, 0.19869083300000057, 0.24825570800021524, 0.2978222080018895, 0.34732858300048974, 0.39728212500267546, 0.4472782910015667, 0.4972429160006868, 0.5477921660021821, 0.5977977080001438, 0.6474032500009343, 0.6966809580007975, 0.7459415830016951, 0.7962256249993516, 0.8464207910001278, 0.8973507500013511, 0.9474493750021793, 0.9974757910022163, 1.0473486660011986, 1.0979804160015192, 1.1483641250015353]",108.98761308400208,,,,,476659,001,2024-01-04_15h27.15.145,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.75133637500039,,,476659,001,2024-01-04_15h27.15.145,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476659,001,2024-01-04_15h27.15.145,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.31121379199976,157.2373883750006,,,,,,,
