games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.762034041999868,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,22.039575374999913,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,30.41987370800007,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,50.50526512499982,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,56.57884079199994,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,2,0,2,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,3,0,3,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,88.42801520800003,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,1,0,1,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,120.888207083,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,2,0,2,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,155.0133059169998,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,1,0,1,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,2,0,2,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,176.60399000000007,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,182.87971991699987,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,1,0,1,0,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,191.17178862499986,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,192.13241924999966,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,193.28078712499973,566786,001,2023-10-05_15h09.36.173,WythoffsHumanExp,2023.1.3,None,
