practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_moves.thisRepN,practice_moves.thisTrialN,practice_moves.thisN,practice_moves.thisIndex,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,401686,001,2023-10-26_16h38.04.264,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,401686,001,2023-10-26_16h38.04.264,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0.0378078749999986,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015555555555555555, -0.024444444444444446, -0.027777777777777776, -0.028888888888888888, -0.02666666666666667, -0.011111111111111112, 0.022222222222222223, 0.052222222222222225, 0.06555555555555556, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.043333333333333335, 0.013333333333333334, -0.01, -0.01888888888888889, -0.01888888888888889, -0.01888888888888889, -0.01888888888888889, -0.01888888888888889, -0.056666666666666664, -0.14888888888888888, -0.1922222222222222, -0.1988888888888889, -0.1988888888888889, -0.1988888888888889, -0.1988888888888889, -0.20777777777777778, -0.24222222222222223, -0.27, -0.2811111111111111, -0.2877777777777778, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.01, 0.013333333333333334, 0.014444444444444444, 0.015555555555555555, 0.015555555555555555, 0.008888888888888889, 0.0, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0033333333333333335, 0.024444444444444446, 0.06222222222222222, 0.09222222222222222, 0.10222222222222223, 0.10222222222222223, 0.10222222222222223, 0.10222222222222223, 0.10222222222222223, 0.12777777777777777, 0.20222222222222222, 0.24333333333333335, 0.25, 0.25, 0.25, 0.25, 0.26222222222222225, 0.31777777777777777, 0.35777777777777775, 0.3711111111111111, 0.38222222222222224, 0.3888888888888889, 0.39111111111111113, 0.3933333333333333, 0.39444444444444443]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017312500131083652, 0.049834208002721425, 0.09927045800213818, 0.14910458300073515, 0.1991192920031608, 0.2484732080010872, 0.2982587920014339, 0.34800812500179745, 0.39763041700280155, 0.44760000000314903, 0.49764862500160234, 0.5473337080002239, 0.5973301250014629, 0.6469154170008551, 0.6965398750035092, 0.7456721670023398, 0.7945638750024955, 0.8437470420030877, 0.893114250000508, 0.9426455420034472, 0.9931542920021457, 1.0430685000028461, 1.0927910000027623, 1.1431475420031347, 1.1934385830027168, 1.2427146670015645, 1.2923688330010918, 1.3424283330023172, 1.3922236250000424, 1.4426848750008503, 1.493004292002297, 1.5432915420024074, 1.592823542003316, 1.642961458001082, 1.6923961669999699, 1.7425742500017805, 1.7927486250009679, 1.84303095800351, 1.893481167000573, 1.944026875000418, 1.9939853330033657, 2.0436595830033184, 2.093445625003369, 2.1429510830021172, 2.1939508330033277]",,,,,,,
