games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.733123749989318,,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,20.16057870798977,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,31.96246808298747,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,33.07611099998758,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,35.1845335830003,233841,001,2023-10-03_11h18.21.599,WythoffsHumanExp,2023.1.3,None,
