board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,left_arrow.started,left_arrow.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,622208,001,2023-09-27_14h35.53.971,WythoffsHumanExp,2023.1.3,None,
10.302275167021435,10.302275167021435,10.302275167021435,10.302275167021435,10.302275167021435,10.302275167021435,10.302275167021435,11.346474209043663,,,,,,,
