games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,imagine_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,17.571500250007375,,,,,,,,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.17333333333333334, -0.17333333333333334, -0.17333333333333334, -0.17333333333333334, -0.17333333333333334, -0.17333333333333334, -0.17555555555555555, -0.18, -0.18888888888888888, -0.19777777777777777, -0.2011111111111111, -0.20222222222222222, -0.20222222222222222, -0.20333333333333334, -0.20333333333333334, -0.20555555555555555, -0.20555555555555555, -0.20555555555555555, -0.20555555555555555, -0.20555555555555555, -0.20555555555555555, -0.2388888888888889, -0.2922222222222222, -0.33111111111111113, -0.35, -0.3655555555555556, -0.37222222222222223, -0.37555555555555553, -0.37666666666666665, -0.37666666666666665, -0.37555555555555553, -0.3688888888888889, -0.3488888888888889, -0.32666666666666666, -0.30777777777777776, -0.3, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29333333333333333, -0.29333333333333333, -0.2922222222222222, -0.29, -0.2877777777777778, -0.28444444444444444, -0.28, -0.2777777777777778, -0.2811111111111111, -0.30444444444444446, -0.3322222222222222, -0.34555555555555556, -0.3477777777777778, -0.3477777777777778, -0.3477777777777778, -0.3477777777777778]","[0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2411111111111111, 0.24555555555555555, 0.25333333333333335, 0.2611111111111111, 0.26555555555555554, 0.2677777777777778, 0.2677777777777778, 0.2688888888888889, 0.27, 0.27111111111111114, 0.27, 0.27, 0.27, 0.27, 0.27, 0.2866666666666667, 0.3211111111111111, 0.3488888888888889, 0.36333333333333334, 0.3788888888888889, 0.39222222222222225, 0.3988888888888889, 0.4011111111111111, 0.4022222222222222, 0.3988888888888889, 0.3877777777777778, 0.37222222222222223, 0.36333333333333334, 0.35888888888888887, 0.3566666666666667, 0.3566666666666667, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35333333333333333, 0.35333333333333333, 0.3511111111111111, 0.3466666666666667, 0.3411111111111111, 0.33444444444444443, 0.32555555555555554, 0.30777777777777776, 0.28888888888888886, 0.27444444444444444, 0.27111111111111114, 0.2722222222222222, 0.2777777777777778, 0.2788888888888889, 0.28]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00040604198875371367, 0.052160708990413696, 0.10183020899421535, 0.15101504199265037, 0.20128720899811015, 0.2515555419959128, 0.30185470898868516, 0.35202029198990203, 0.4031767089909408, 0.4541423339978792, 0.5042962089937646, 0.5547695419954835, 0.604521624991321, 0.6545529589930084, 0.7042303749913117, 0.7538788339879829, 0.8038939589896472, 0.8534073339978931, 0.902637124992907, 0.9519197919871658, 1.0015620839985786, 1.0518593339947984, 1.1018343339965213, 1.1516096249979455, 1.2025188339903252, 1.2522954999876674, 1.3020890419866191, 1.3516810839937534, 1.4019289589923574, 1.4523746249906253, 1.502373583993176, 1.551831459000823, 1.601435999997193, 1.6531720839993795, 1.7057651669892948, 1.7587859999912325, 1.8117607089952799, 1.8637662089895457, 1.9164431669923943, 1.969150708988309, 2.020472416988923, 2.0710527089977404, 2.121996499990928, 2.1720212919899495, 2.2217434999911347, 2.2716794589941856, 2.3223062499891967, 2.3726877919980325, 2.4229265419999138, 2.4732178749982268, 2.52327841699298, 2.5729457499983255, 2.6230542499979492, 2.673084416994243, 2.7234492089919513, 2.7734831669949926, 2.8231429169973126, 2.8727599589910824, 2.9236099169938825, 2.9735834169987356, 3.0234834589937236, 3.072851624994655]",0.0023347079986706376,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,,,,,,,"[-0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778]","[0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444]","[0, 0, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.00017050000315066427, 0.050000083007034846, 0.10054779100755695, 0.15082566600176506]",0.017376582996803336,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,32.00096449999546,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.29888888888888887, -0.29888888888888887, -0.29888888888888887, -0.29888888888888887, -0.29888888888888887, -0.29888888888888887]","[0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333]","[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.00017766699602361768, 0.04978116700658575, 0.09956329199485481, 0.1494327499967767, 0.1999462920066435, 0.24965858399809804]",0.022629208004218526,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,"[-0.4, -0.4, -0.4, -0.4, -0.4, -0.4]","[0.4111111111111111, 0.4111111111111111, 0.4111111111111111, 0.4111111111111111, 0.4122222222222222, 0.4122222222222222]","[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.00018483299936633557, 0.049937457995838486, 0.09925354199367575, 0.14905445800104644, 0.1992252920026658, 0.24860783299664035]",0.012146958004450426,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,42.868596707994584,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,46.351038875000086,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,49.65440195800329,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,352466,006,2023-10-12_10h55.53.034,WythoffsHumanExp,2023.1.3,None,
