games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,end_blue.started,end_red.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.613945832999889,8.613945832999889,8.613945832999889,11.626610667037312,12.91409679199569,,,,,,133804,001,2023-09-25_13h48.18.083,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,17.413169874984305,18.65896925004199,13.888676625036169,13.888676625036169,16.40001487499103,,,133804,001,2023-09-25_13h48.18.083,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,,,19.688705375010613,19.688705375010613,20.7546972919954,,,133804,001,2023-09-25_13h48.18.083,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,21.77112066699192,21.77112066699192,133804,001,2023-09-25_13h48.18.083,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,22.774365541990846,22.774365541990846,22.774365541990846,29.445802333008032,30.69365579204168,25.804054707987234,25.804054707987234,28.428901417006273,,,133804,001,2023-09-25_13h48.18.083,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,31.692144125001505,31.692144125001505,32.83397579198936,,,133804,001,2023-09-25_13h48.18.083,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,33.83445066702552,33.83445066702552,133804,001,2023-09-25_13h48.18.083,WythoffsHumanExp,2023.1.3,None,
