practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509677,001,2023-11-01_16h00.08.845,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509677,001,2023-11-01_16h00.08.845,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,12.915820000000167,,,,,,,,,,,,,509677,001,2023-11-01_16h00.08.845,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,0.030432584000664065,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0077777777777777776, -0.058888888888888886, -0.19777777777777777, -0.31555555555555553, -0.38333333333333336, -0.4022222222222222, -0.4066666666666667, -0.4088888888888889, -0.4111111111111111, -0.4166666666666667, -0.42, -0.42, -0.42, -0.42, -0.42]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.051111111111111114, 0.21777777777777776, 0.3655555555555556, 0.4488888888888889, 0.4722222222222222, 0.4766666666666667, 0.47555555555555556, 0.4688888888888889, 0.44333333333333336, 0.41, 0.4, 0.3988888888888889, 0.3977777777777778, 0.3977777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017520800065540243, 0.048122500000317814, 0.09565079100048024, 0.14317949999986013, 0.1905592080001952, 0.238288915999874, 0.28641241600053036, 0.33427158300037263, 0.38242958299997554, 0.4303310830000555, 0.47825495800043427, 0.5264038750001419, 0.5746972500000993, 0.6228709580000213, 0.6710081250002986, 0.7195055830006822, 0.7675091250002879, 0.8151052500006699, 0.8630193750004764, 0.910782083000413, 0.9585371250004755, 1.0065150000000358, 1.0540381660002822, 1.10155554100038, 1.1496543749999546, 1.1971410000005562, 1.2447550830002, 1.2923028750001322, 1.3405145830001857, 1.3890890410002612, 1.4403279160005695, 1.4927662079999209, 1.543253666000055, 1.5937668330007, 1.6437450410003294, 1.693831708000289, 1.7440381249998609, 1.7939666250003938, 1.8441520000005767, 1.8942555000003267, 1.944463958000597, 1.9938980830002038, 2.0444053750006788, 2.09478158300044]",81.82636062500023,86.64384837499983,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[7.62966141600009, 9.5856843749998, 11.142405415999747, 11.622350749999896, 12.10858695800016, 12.49789941600011, 12.815414833000432, 13.109734333000233, 13.772428250000303, 14.090257208000367, 14.33016516600037, 14.530690499999764, 15.105459790999703, 15.389633415999924, 15.77520637500038, 15.996954500000356]","[0.14324616700014303, 1.2005770000005214, 0.1974345420003374, 0.17620345800060022, 0.15301375000035478, 0.16498083399983443, 0.15976454199972068, 0.1427051250002478, 0.15094737500021438, 0.09440383299988753, 0.06261337500018271, 0.14527020800051105, 0.1270400420007718, 0.17690683399996487, 0.12338275000001886, 0.2690042499998526]",509677,001,2023-11-01_16h00.08.845,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509677,001,2023-11-01_16h00.08.845,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,0.02313604199935071,,,,,,,,,,,,,,,,,,
