games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,13.445974500005832,,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,25.119177208995097,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,32.0354615420074,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,33.64670070899592,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,36.25527824999881,130998,001,2023-10-03_11h21.14.269,WythoffsHumanExp,2023.1.3,None,
