games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,status_text.started,next_mouse.started,next_mouse.x,next_mouse.y,next_mouse.leftButton,next_mouse.midButton,next_mouse.rightButton,next_mouse.time,next_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,22.16890249995049,0.043580333003774285,[-0.056666666666666664],[0.011111111111111112],[1],[0],[0],[26.97016737499507],['button'],109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,61.326100416947156,0.042514167027547956,[-0.07111111111111111],[0.013333333333333334],[1],[0],[0],[4.9963948329677805],['button'],109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,76.59701674996177,0.0438457090058364,[-0.06444444444444444],[-0.013333333333333334],[1],[0],[0],[2.008207584032789],['button'],109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,,,,,,,,109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,92.71042737498647,0.037951832986436784,[-0.10444444444444445],[-0.01],[1],[0],[0],[47.395919499977026],['button'],109147,001,2023-09-26_14h26.16.843,WythoffsHumanExp,2023.1.3,None,
