practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.548554667002463,,,,,,,,,,,,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015444500000739936,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.04, -0.10444444444444445, -0.18444444444444444, -0.24222222222222223, -0.28555555555555556, -0.31777777777777777, -0.3388888888888889, -0.35333333333333333, -0.3655555555555556, -0.37666666666666665, -0.39, -0.3988888888888889, -0.4033333333333333, -0.40444444444444444, -0.40555555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011111111111111111, 0.03222222222222222, 0.09222222222222222, 0.15222222222222223, 0.19444444444444445, 0.23, 0.2611111111111111, 0.2911111111111111, 0.31666666666666665, 0.3388888888888889, 0.3566666666666667, 0.37333333333333335, 0.3877777777777778, 0.39666666666666667, 0.3988888888888889, 0.3988888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017758300236891955, 0.048528958002862055, 0.09626891699736007, 0.1437600829958683, 0.1910976250001113, 0.2395981669978937, 0.2876957499975106, 0.3357300830029999, 0.38380966700060526, 0.4327941669980646, 0.480953624995891, 0.5291996250016382, 0.5775201669966918, 0.6258720420009922, 0.6741140829981305, 0.7222215829970082, 0.7704640000010841, 0.8186822080024285, 0.8669338749969029, 0.9151800420004292, 0.9639219579985365, 1.0115323749996605]",46.33787429200311,47.356728874998225,,,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.030397833994356915,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03, -0.08555555555555555, -0.11333333333333333, -0.12333333333333334, -0.1288888888888889, -0.13555555555555557, -0.14222222222222222, -0.1511111111111111, -0.15666666666666668, -0.16333333333333333, -0.1688888888888889, -0.1711111111111111, -0.1711111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05555555555555555, 0.15444444444444444, 0.2222222222222222, 0.2677777777777778, 0.29555555555555557, 0.31555555555555553, 0.32555555555555554, 0.3433333333333333, 0.37222222222222223, 0.39555555555555555, 0.41, 0.4166666666666667, 0.4166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017791600112104788, 0.04793216600228334, 0.09545208300551167, 0.14352204100578092, 0.19112420800229302, 0.23850345800019568, 0.28610679100529524, 0.3334059580010944, 0.3811012500009383, 0.4290223749994766, 0.4772537079988979, 0.5250877080034115, 0.573089165998681, 0.6208707500045421, 0.6688445410036366, 0.7168001250029192, 0.765110915999685, 0.8130925830046181, 0.8616000830006669, 0.90988491600001, 0.9583956249989569, 1.0062012910057092]",56.613502291998884,,,,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.041845833002298605,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.058888888888888886, -0.17444444444444446, -0.26222222222222225, -0.31444444444444447, -0.3411111111111111, -0.3511111111111111, -0.35555555555555557, -0.3655555555555556, -0.37777777777777777, -0.3888888888888889, -0.3977777777777778, -0.4, -0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04111111111111111, 0.15444444444444444, 0.23666666666666666, 0.2822222222222222, 0.31222222222222223, 0.3333333333333333, 0.35, 0.3688888888888889, 0.38555555555555554, 0.4, 0.41, 0.41333333333333333, 0.41333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017866699636215344, 0.04793200000131037, 0.09509458400134463, 0.14235183400160167, 0.1895574169975589, 0.2371865839959355, 0.28479633400274906, 0.3321496249991469, 0.37951066700043157, 0.42671791699831374, 0.47382174999802373, 0.5211960000015097, 0.5686436670002877, 0.6160843749967171, 0.6633279590023449, 0.7106252090015914, 0.7580089589973795, 0.8056065839991788, 0.8536135839967756, 0.9024378749963944, 0.950671250000596, 0.9989778750023106, 1.0469553340008133, 1.0948655419997522, 1.1430758749993402, 1.191715959001158, 1.2401590000008582, 1.287976334002451, 1.336037374996522, 1.3841600000014296, 1.4322236669977428]",70.87246925000363,,,,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.69440949999989,,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.61874954200175,,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.26214783300384,,459815,001,2023-10-30_14h39.35.474,WythoffsHumanExp,2023.1.3,None,
