games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,12.319620958005544,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,22.002366583008552,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,55.58253604100901,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,74.267970624991,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,86.02837483299663,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,2,0,2,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,115.61891612500767,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,2,0,2,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,134.20248841599096,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,146.07304570800625,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,151.95239329099422,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,2,0,2,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,173.39241991599556,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,1,0,1,0,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,184.19717708299868,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,193.71790095799952,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,194.55664470800548,415968,001,2023-10-05_13h34.43.676,WythoffsHumanExp,2023.1.3,None,
