trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.115589749999344,9.3534641659935,,,,836085,001,2023-09-22_16h10.22.779,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,16.541816957993433,17.77495845797239,10.376495874952525,10.376495874952525,15.51987029099837,836085,001,2023-09-22_16h10.22.779,WythoffsHumanExp,2023.1.3,None,
,,,,,,18.797627708001528,18.797627708001528,21.553702499950305,,,,,,,
