games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,imagine_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,14.207024083996657,,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,20.316611999995075,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,31.5285276670038,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,564323,00,2023-10-02_13h38.49.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,32.126041750001605,,,,,,,
