games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,275490,001,2023-10-06_10h45.39.891,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,275490,001,2023-10-06_10h45.39.891,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,20.53849149999951,,,,,,,,275490,001,2023-10-06_10h45.39.891,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,[],[],[],[],[],[],,275490,001,2023-10-06_10h45.39.891,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,"[0.13555555555555557, 0.13666666666666666, 0.1388888888888889, 0.1388888888888889, 0.1388888888888889, 0.1388888888888889, 0.1388888888888889, 0.1388888888888889, 0.11222222222222222, -0.006666666666666667, -0.08777777777777777, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.12444444444444444, -0.23, -0.3233333333333333, -0.35444444444444445, -0.3611111111111111, -0.36444444444444446, -0.3688888888888889, -0.37666666666666665, -0.3844444444444444, -0.39, -0.39222222222222225]","[0.3111111111111111, 0.31666666666666665, 0.3233333333333333, 0.3233333333333333, 0.3233333333333333, 0.3233333333333333, 0.3233333333333333, 0.3233333333333333, 0.3244444444444444, 0.3411111111111111, 0.35777777777777775, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3655555555555556, 0.3711111111111111, 0.3877777777777778, 0.3977777777777778, 0.4011111111111111, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00043737499981943984, 0.051205457999458304, 0.10098037500029022, 0.1504958749992511, 0.2003603329994803, 0.2518552080000518, 0.3017624160002015, 0.35204650000014226, 0.40240445800009184, 0.45301254100013466, 0.5036930829992343, 0.553810749999684, 0.6033952910001972, 0.6530784580008913, 0.7026734160008345, 0.7522501660005219, 0.8015707079994172, 0.8509377909995237, 0.9001453330001823, 0.9487984999996115, 0.9997136660003889, 1.0501364579995425, 1.100077290999252, 1.149678750000021, 1.1989952500007348, 1.2495859999999084, 1.2995067499996367, 1.3490037499996106, 1.399216083000283, 1.4493687499998487, 1.4994359579995944, 1.5497175410000636, 1.5996002909996605, 1.6497159579994332]",0.015832959001272684,275490,001,2023-10-06_10h45.39.891,WythoffsHumanExp,2023.1.3,None,
