games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,moves.thisRepN,moves.thisTrialN,moves.thisN,moves.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.606301583989989,8.606301583989989,8.606301583989989,11.61449004203314,12.890077334013768,,,,680751,001,2023-09-25_12h34.32.229,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,13.875487709010486,13.875487709010486,16.262018584006,,,,,,,
