games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,9.515623457962647,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,24.21918666595593,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,33.261007124965545,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,49.05723308294546,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,62.99141233297996,328840,001,2023-09-27_12h32.40.093,WythoffsHumanExp,2023.1.3,None,
