board_outline.started,box_1.started,text_1.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,008931,001,2023-09-27_13h23.24.022,WythoffsHumanExp,2023.1.3,None,
9.08742458402412,9.08742458402412,9.08742458402412,,,,,,,
