games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,82.93131508400256,,,,,,,,,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,0.0030117499991320074,"[-0.3988888888888889, -0.4, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222]","[0.4011111111111111, 0.4011111111111111, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004095409967703745, 0.05070158299349714, 0.09970241600240115, 0.14823945799435023, 0.19711483300488908, 0.2460685830010334, 0.29490950000763405, 0.344207500005723, 0.3934007079951698, 0.4428880829946138, 0.49214758300513495]",,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,89.03457387500384,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,[],[],[],[],[],[],,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,0.03547733298910316,"[-0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.3522222222222222, -0.3488888888888889, -0.3477777777777778, -0.3477777777777778]","[0.2966666666666667, 0.2966666666666667, 0.2966666666666667, 0.2966666666666667, 0.2966666666666667, 0.2966666666666667, 0.2966666666666667, 0.2966666666666667, 0.2966666666666667, 0.2966666666666667, 0.30666666666666664, 0.33, 0.3433333333333333, 0.34555555555555556, 0.34555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017616699915379286, 0.049484959003166296, 0.09878229199966881, 0.14747212499787565, 0.19600537499354687, 0.24447891699674074, 0.2932945840002503, 0.342095583997434, 0.3914227499917615, 0.4402378340018913, 0.4948635420005303, 0.5448265419981908, 0.5943629999965196, 0.6442279170005349, 0.6944998749968363]",,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,100.33793962500931,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,100.94169320900983,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,101.68231962500431,709384,001,2023-10-12_14h15.22.683,WythoffsHumanExp,2023.1.3,None,
