games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,imagine_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,14.037788458008436,,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,26.161711499997182,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,35.04433762500412,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,387736,000,2023-10-02_13h34.29.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,35.700380166003015,,,,,,,
