trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,piece.started,text.started,moving_piece.started,npc.started,moving_npc.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.24974516700604,8.24974516700604,19.376008208026178,20.396207250014413,21.66239791701082,150103,001,2023-09-22_12h50.38.612,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,22.627395292016445,22.627395292016445,25.44798370799981,26.46530912502203,27.739354833000107,150103,001,2023-09-22_12h50.38.612,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,28.704908917017747,28.704908917017747,30.209676708007464,31.214897625002777,32.47881200001575,150103,001,2023-09-22_12h50.38.612,WythoffsHumanExp,2023.1.3,None,
,,,,33.49132133301464,33.49132133301464,35.80754641702515,,,,,,,,,
