practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,section_0_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,458895,001,2024-01-23_16h21.25.143,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,458895,001,2024-01-23_16h21.25.143,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,15.136844749969896,458895,001,2024-01-23_16h21.25.143,WythoffsHumanExp,2023.1.3,None,
