games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,856041,001,2023-09-26_16h42.13.776,WythoffsHumanExp,2023.1.3,59.85967397438852,
,,,,,,,,10.997747000015806,856041,001,2023-09-26_16h42.13.776,WythoffsHumanExp,2023.1.3,59.85967397438852,
