games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.453012583020609,8.453012583020609,8.453012583020609,11.456051999994088,12.707531874999404,,,,215946,001,2023-09-25_13h14.02.580,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,13.71228933299426,13.71228933299426,62.89218579197768,,,,,,,
