games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,33.76415616700251,,,,,,,,,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,0.04024954100896139,"[-0.40555555555555556, -0.4066666666666667, -0.4077777777777778, -0.4088888888888889, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41]","[0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004645000008167699, 0.050950249991728924, 0.10169854199921247, 0.15259245799097698, 0.20263299999351148, 0.25236849999055266, 0.3020243329956429, 0.3521719169948483, 0.40227570799470413, 0.45248579198960215, 0.5029440419893945, 0.553134499990847]",,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,42.3115822920081,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,[],[],[],[],[],[],,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,0.02206470799865201,"[-0.3477777777777778, -0.3477777777777778, -0.3477777777777778, -0.3477777777777778]","[0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333]","[0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.00017600000137463212, 0.04997666599228978, 0.09994450000522193, 0.15012687499984168]",,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,,,,,,0.04674687499937136,"[-0.45444444444444443, -0.45555555555555555, -0.4577777777777778, -0.4588888888888889, -0.4577777777777778, -0.4488888888888889, -0.43222222222222223, -0.4211111111111111, -0.4177777777777778, -0.4177777777777778]","[0.41444444444444445, 0.41555555555555557, 0.42, 0.4255555555555556, 0.42777777777777776, 0.42777777777777776, 0.4211111111111111, 0.41444444444444445, 0.4111111111111111, 0.41]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003912089887307957, 0.05077000000164844, 0.10072695898998063, 0.15046091699332464, 0.2004616670019459, 0.2502725419908529, 0.29985333399963565, 0.3495930839999346, 0.39998158399248496, 0.449942833991372]",,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,55.98398666700814,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,67.78555870900163,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,69.24270395899657,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,669085,001,2023-10-12_14h18.09.363,WythoffsHumanExp,2023.1.3,None,
