games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.792697667005996,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,23.964408542000456,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,38.63200737500301,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,48.96952825000335,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,65.85560554200492,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,2,0,2,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,3,0,3,0,,,291188,001,2023-09-29_14h59.12.419,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,84.85839687500265,,,,,,,
