board_outline.started,box_1.started,text_1.started,arrow.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,821975,001,2023-09-27_13h50.47.036,WythoffsHumanExp,2023.1.3,None,
12.422587791981641,12.422587791981641,12.422587791981641,12.422587791981641,,,,,,,
