games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,9.513369583000895,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,26.079621832999692,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,39.786134166999545,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,52.227927874999295,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,239440,001,2023-09-29_15h43.49.163,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,64.57625887500035,,,,,,,
