games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.584788041999673,,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,20.72663133399965,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,484872,001,2023-10-05_16h27.04.911,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,39.82416870899942,,,,,,,
