practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,imagine_text.started,section_2_text.started,section_3_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.23667154200666,,,,,,,,,,,,,,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006198330083861947,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0077777777777777776, -0.06222222222222222, -0.12444444444444444, -0.16777777777777778, -0.19111111111111112, -0.20333333333333334, -0.21333333333333335, -0.22333333333333333, -0.23222222222222222, -0.23666666666666666, -0.24, -0.2411111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.05555555555555555, 0.1922222222222222, 0.28444444444444444, 0.3244444444444444, 0.3388888888888889, 0.34555555555555556, 0.35333333333333333, 0.36444444444444446, 0.38222222222222224, 0.40444444444444444, 0.41555555555555557, 0.4166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018029200145974755, 0.04880554199917242, 0.09656404200359248, 0.1443935420102207, 0.1916574170027161, 0.23995287501020357, 0.287435167003423, 0.33525470799941104, 0.38382858301338274, 0.4328645830100868, 0.4816217080078786, 0.5302078750100918, 0.5792095420038095, 0.6273838330089347, 0.6756450000102632, 0.7242936250113416, 0.7728299170121318, 0.8215256670082454, 0.8706618750002235, 0.919405500011635, 0.9683210000075633, 1.0175433330005035, 1.0659577080077725]",71.6826396670076,59.82758812500106,,,,,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03853529100888409,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.013333333333333334, -0.04555555555555556, -0.1288888888888889, -0.22333333333333333, -0.2877777777777778, -0.3188888888888889, -0.3422222222222222, -0.3611111111111111, -0.38, -0.39666666666666667, -0.4122222222222222, -0.41444444444444445]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.022222222222222223, 0.0811111111111111, 0.1711111111111111, 0.25555555555555554, 0.29555555555555557, 0.30333333333333334, 0.30333333333333334, 0.3011111111111111, 0.3011111111111111, 0.3, 0.3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017829200078267604, 0.048961959008011036, 0.09702604199992493, 0.1453175420028856, 0.19347850000485778, 0.24153054199996404, 0.28971604199614376, 0.33757229200273287, 0.38523545900534373, 0.4329596669995226, 0.4847756670060335, 0.5334548749960959, 0.5821072920080042, 0.6311578750028275, 0.6795814170036465, 0.7279606670053909, 0.7768139170075301, 0.825100542002474, 0.873411666994798, 0.9223813749995315, 0.9711870419996558, 1.0198822090023896, 1.0683899169962388, 1.117758959007915, 1.1660247090039775]",80.965061875002,,,,,,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.92803762500989,,,,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0.0006311250035651028,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008888888888888889, 0.023333333333333334, 0.034444444444444444, 0.03777777777777778, 0.03777777777777778, 0.03777777777777778, 0.03777777777777778, 0.03777777777777778, 0.03777777777777778, 0.015555555555555555, -0.07, -0.17777777777777778, -0.27, -0.3233333333333333, -0.3433333333333333, -0.3466666666666667, -0.35, -0.35444444444444445, -0.36333333333333334, -0.37555555555555553, -0.38555555555555554, -0.3933333333333333, -0.3977777777777778, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014444444444444444, 0.08333333333333333, 0.18888888888888888, 0.24222222222222223, 0.2544444444444444, 0.2544444444444444, 0.2544444444444444, 0.2544444444444444, 0.2544444444444444, 0.2544444444444444, 0.2544444444444444, 0.28, 0.32666666666666666, 0.36666666666666664, 0.39555555555555555, 0.4077777777777778, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4066666666666667, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40555555555555556, 0.40555555555555556, 0.40555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00021474999084603041, 0.04895904099976178, 0.09715999999025371, 0.14490787498652935, 0.19262691598851234, 0.2405475829873467, 0.28830891598772723, 0.33624641598726157, 0.3843280829896685, 0.4318447080004262, 0.47962749999715015, 0.5275902909925207, 0.5758147079905029, 0.6241529999970226, 0.6718059579870896, 0.7199505829921691, 0.7696788749890402, 0.8186296249914449, 0.8680017909937305, 0.9165602499997476, 0.9651503749919357, 1.0132404999894788, 1.0610157909977715, 1.1085636249918025, 1.1567392909928458, 1.204895332994056, 1.2536865000001853, 1.3024014999973588, 1.3511735829961253, 1.399676790999365, 1.4485568749951199, 1.4974593329970958, 1.5460751659993548, 1.5947773329971824, 1.6434244579868391, 1.691859165992355, 1.740442415990401, 1.7887967909919098, 1.8371489999990445, 1.8864639579987852, 1.935319124997477, 1.9836313749983674, 2.0320625829917844, 2.0816063749953173]",184.28767200000584,,,84.14418216700142,117.91152816700924,144.91166133301158,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,0.0006466659979196265,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.06, 0.07222222222222222, 0.07444444444444444, 0.07555555555555556, 0.07555555555555556, 0.07555555555555556, 0.07555555555555556, 0.07555555555555556, 0.07555555555555556, 0.07555555555555556, 0.035555555555555556, -0.04, -0.09888888888888889, -0.12111111111111111, -0.12444444444444444, -0.12444444444444444, -0.12444444444444444, -0.12444444444444444, -0.12444444444444444, -0.15888888888888889, -0.3055555555555556, -0.39666666666666667, -0.42, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.41333333333333333, -0.4077777777777778, -0.4066666666666667, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01888888888888889, 0.2411111111111111, 0.3622222222222222, 0.39111111111111113, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.38555555555555554, 0.3811111111111111, 0.3888888888888889, 0.39444444444444443, 0.39666666666666667, 0.39666666666666667, 0.39666666666666667, 0.39666666666666667, 0.39666666666666667, 0.39666666666666667, 0.3988888888888889, 0.4222222222222222, 0.42777777777777776, 0.42777777777777776, 0.42777777777777776, 0.42777777777777776, 0.42777777777777776, 0.42777777777777776, 0.42777777777777776, 0.42777777777777776, 0.42333333333333334, 0.42, 0.4177777777777778, 0.4177777777777778, 0.4177777777777778, 0.4177777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00022587498824577779, 0.048889208992477506, 0.09689599998819176, 0.14421595899329986, 0.19176666699058842, 0.24003937499946915, 0.28821870899992064, 0.33607499999925494, 0.38419612500001676, 0.4324958339857403, 0.48097383399726823, 0.5283630839985562, 0.5766814169910504, 0.6243613339902367, 0.6724428339948645, 0.7205110419890843, 0.7682782919873716, 0.8157064589904621, 0.8634447089862078, 0.9108348339941585, 0.9583138749876525, 1.0060239169979468, 1.0541407499986235, 1.1026065419864608, 1.1507565840001917, 1.1991685419925489, 1.247771541995462, 1.2961677919956855, 1.3452457919920562, 1.3946849999920232, 1.443514916987624, 1.4918781249871245, 1.5407107919891132, 1.5887605839961907, 1.6362100419937633, 1.6833667920000153, 1.7310132089914987, 1.7791517499863403, 1.8270417919993633, 1.8752692089910852, 1.9235426669911249, 1.9720438339863904, 2.0203367919893935, 2.0685517499950947, 2.1166112089995295, 2.165595583996037, 2.213514999995823, 2.262368833995424, 2.3105356249870965, 2.358958791999612, 2.4074338339996757, 2.455954833989381, 2.5042617499857442, 2.5519599589897553, 2.600142124996637, 2.6477477499865927, 2.6962459169881186, 2.74480595899513, 2.793122458999278, 2.8419637919869274, 2.8911200419970555, 2.9401909169973806, 2.989142999998876, 3.0371363339945674, 3.085293874988565, 3.1334932089957874]",213.978936917003,,,,,,,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.29270841700782,12,0,2024-01-10_11h29.26.643,WythoffsHumanExp,2023.1.3,None,
