trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.528268458030652,8.528268458030652,8.528268458030652,11.502185583056416,12.776187500043306,,,,626572,001,2023-09-25_11h02.21.760,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,13.756136875017546,13.756136875017546,16.612831000005826,,,,,,,
