board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,left_arrow.started,up_arrow.started,up_left_arrow.started,box_3.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,265150,001,2023-09-28_15h32.57.889,WythoffsHumanExp,2023.1.3,None,
9.965238332999888,9.965238332999888,9.965238332999888,9.965238332999888,9.965238332999888,9.965238332999888,9.965238332999888,9.965238332999888,9.965238332999888,9.965238332999888,9.965238332999888,,,,,,,
