trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.88052174996119,14.862777124973945,16.140050499991048,,,,035737,001,2023-09-25_10h41.45.251,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,17.127058874990325,26.849566582997795,28.09502058295766,20.133971540955827,20.133971540955827,25.814364916004706,035737,001,2023-09-25_10h41.45.251,WythoffsHumanExp,2023.1.3,None,
,,,,29.07783554098569,,,32.09601062495494,32.09601062495494,34.94633933296427,,,,,,,
